Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
First-line supervisors of office and administrative support workers,1297,812.0,434,878.0,863,781.0
Bill and account collectors,152,657.0,54,674.0,98,648.0
"Bookkeeping, accounting, and auditing clerks",769,692.0,87,690.0,682,692.0
Customer service representatives,1760,621.0,611,690.0,1149,604.0
"Hotel, motel, and resort desk clerks",127,481.0,58,486.0,69,467.0
Receptionists and information clerks,852,575.0,72,619.0,781,569.0
Dispatchers,250,698.0,109,759.0,141,655.0
Postal service clerks,127,927.0,76,974.0,51,833.0
Postal service mail carriers,302,954.0,187,1021.0,115,854.0
"Production, planning, and expediting clerks",256,838.0,116,978.0,141,732.0
"Shipping, receiving, and traffic clerks",502,591.0,354,604.0,148,566.0
Stock clerks and order fillers,1027,520.0,651,537.0,376,506.0
Secretaries and administrative assistants,2223,687.0,124,786.0,2099,683.0
Data entry keyers,223,619.0,55,589.0,169,638.0
Insurance claims and policy processing clerks,259,689.0,56,762.0,203,675.0
"Office clerks, general",929,620.0,156,609.0,773,622.0
"Office and administrative support workers, all other",391,745.0,93,852.0,298,718.0
AGRICULTURAL,810,464.0,637,477.0,174,437.0
Miscellaneous agricultural workers,613,445.0,511,460.0,102,398.0
CONSTRUCTION,5722,749.0,5586,751.0,137,704.0
MAINTENANCE,4301,839.0,4159,842.0,143,761.0
PRODUCTION,7551,663.0,5548,729.0,2003,519.0
First-line supervisors of production and operating workers,783,875.0,650,924.0,133,623.0
"Electrical, electronics, and electromechanical assemblers",123,554.0,59,566.0,64,544.0
Miscellaneous assemblers and fabricators,950,581.0,573,637.0,377,512.0
Bakers,150,505.0,69,570.0,80,475.0
"Butchers and other meat, poultry, and fish processing workers",247,542.0,187,582.0,60,463.0
"Food processing workers, all other",132,594.0,82,679.0,50,508.0
"Metal workers and plastic workers, all other",351,639.0,278,678.0,72,581.0
Laundry and dry-cleaning workers,133,466.0,53,487.0,80,460.0
"Inspectors, testers, sorters, samplers, and weighers",701,710.0,440,844.0,260,583.0
Packaging and filling machine operators and tenders,239,518.0,118,605.0,120,482.0
"Production workers, all other",846,625.0,643,666.0,203,501.0
TRANSPORTATION,6953,646.0,5998,679.0,955,494.0
Bus drivers,323,615.0,184,681.0,138,572.0
Driver/sales workers and truck drivers,2687,747.0,2582,751.0,105,632.0
"Laborers and freight, stock, and material movers, hand",1433,526.0,1214,547.0,219,455.0
"Packers and packagers, hand",385,438.0,158,462.0,227,424.0
